path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/alpha_tubulin/3500000757_100X_20170327_2-Scene-1-P19-D04.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000757_100X_20170327_2-Scene-2-P22-D04.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000726_100X_20170320_1-Scene-3-P3-E06.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000766_100X_20170328_D04_P09.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000781_100X_20170331_c-Scene-09-P25-D08.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000726_100X_20170320_4-Scene-3-P21-E08.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000684_100X_20170307_E06_P21_P22-Scene-1-P21.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000672_100X_20170306_D06_P25_P26-Scene-1-P25-D06.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000666_100X_20170303_E04_P03.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000636_100X_20170227_E06_P14.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000738_100X_20170321_1-Scene-02-P2-D04.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000684_100X_20170307_E04_P13_P14-Scene-1-P13-E05.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000636_100X_20170227_F04_P26.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000722_100X_20170317_E04_P19.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000645_10X_20170301_E06_P36.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000729_100X_20170320_2-Scene-07-P39-F05.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000636_100X_20170227_E05_P11.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000523_100X_20170314_D04_P06.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000738_100X_20170321_4-Scene-4-P32-E04.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000781_100X_20170331_c-Scene-11-P31-D08.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000726_100X_20170320_2-Scene-5-P5-E06.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000719_100X_20170317_F07_P01.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000666_100X_20170303_E08_P37.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000738_100X_20170321_4-Scene-6-P34-E04.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000781_100X_20170331_c-Scene-12-P34-D08.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000726_100X_20170320_3-Scene-08-P16-E07.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000635_100X_20170227_E08_P11.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000765_100X_20170328_1-Scene-08-P22-D04.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000666_100X_20170303_E05_P14.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000635_100X_20170227_F07_P21.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000666_100X_20170303_E04_P07.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000636_100X_20170227_F05_P23.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000781_100X_20170331_c-Scene-10-P28-D08.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000766_100X_20170328_D05_P14.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000527_100X_20170314_D04_P03.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000666_100X_20170303_E07_P32.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000527_100X_20170314_D04_P10.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000741_100X_20170324_D04_P23.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000645_10X_20170301_E07_P12.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000527_100X_20170314_D07_P27.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000654_100X_20170301_F08_P13.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000635_100X_20170227_E08_P18.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000636_100X_20170227_E05_P06.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000741_100X_20170324_D04_P06.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000635_100X_20170227_E08_P13.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000765_100X_20170328_1-Scene-03-P7-D04.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000738_100X_20170321_2-Scene-04-P14-D07.czi,3,1,Alpha tubulin,
data/alpha_tubulin/3500000645_10X_20170301_E07_P24.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000645_10X_20170301_E07_P02.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000729_100X_20170320_3-Scene-5-P47-F07.czi,6,3,Alpha tubulin,
data/alpha_tubulin/3500000672_100X_20170306_D07_P45_P46-Scene-1-P46-D07.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000757_100X_20170327_3-Scene-07-P20-D04.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000765_100X_20170328_2-Scene-03-P8-D04.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000757_100X_20170327_6-Scene-03-P35-D06.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000765_100X_20170328_5-Scene-06-P44-D05.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000757_100X_20170327_6-Scene-05-P41-D07.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000672_100X_20170306_D07_P41_P42-Scene-2-P42-D07.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000693_100X_20170310_D07_P46.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000672_100X_20170306_D08_P49_P50-Scene-1-P50-D08.czi,6,3,Alpha tubulin,r
data/alpha_tubulin/3500000781_100X_20170331_r2-Scene-11-P38-D08.czi,6,3,Alpha tubulin,r
