path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/beta_actin/3500001310_100X_20170919_1-Scene-02-P6-F08.czi,6,3,Beta actin,
data/beta_actin/3500001245_100X_20170828_2-Scene-02-P22-E08.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_2-Scene-08-P38-E07.czi,6,3,Beta actin,
data/beta_actin/3500001238_10X_20170828_1-Scene-1-P1-E04.czi,6,3,Beta actin,
data/beta_actin/3500001222_100X_20170822_2-Scene-01-P3-E04.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-03-P3-E04.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-27-P30-E06.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-11-P11-E05.czi,6,3,Beta actin,
data/beta_actin/3500001238_10X_20170828_2-Scene-10-P14-E05.czi,6,3,Beta actin,
data/beta_actin/3500001310_100X_20170919_1-Scene-10-P30-F06.czi,6,3,Beta actin,
data/beta_actin/3500001221_100X_20170822_5-Scene-1-P36-E04.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-17-P19-E05.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-12-P12-E05.czi,6,3,Beta actin,
data/beta_actin/3500001245_100X_20170828_1-Scene-06-P6-E04.czi,6,3,Beta actin,
data/beta_actin/3500001221_100X_20170822_5-Scene-3-P38-F05.czi,6,3,Beta actin,
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-02-P2-E04.czi,6,3,Beta actin,
data/beta_actin/3500001307_100X_20170919_16_184_2-Scene-02-P15-F05.czi,6,3,Beta actin,
data/beta_actin/3500001200_100X_20170818_1-Scene-19-P19-E06.czi,6,3,Beta actin,
data/beta_actin/3500001310_100X_20170919_1-Scene-09-P27-E07.czi,6,3,Beta actin,
data/beta_actin/3500001245_100X_20170828_2-Scene-13-P33-F04.czi,6,3,Beta actin,
