path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/desmoplakin/3500001124_100X_20170725_6-Scene-03-P27-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001101_100X_20170722_2-Scene-13-P33-F05.czi,6,3,Desmoplakin,
data/desmoplakin/3500001101_100X_20170722_1-Scene-19-P20-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_9-Scene-09-P43-F06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001108_100X_20170724_1c-Scene-16-P16-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001123_100X_20170725_3-Scene-04-P14-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001078_100X_20170717_1-Scene-2-P2-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001128_100X_20170728_2-Scene-09-P25-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_1-Scene-6-P6-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001079_100X_20170717_1c-Scene-05-P6-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001128_100X_20170728_4-Scene-3-P50-F07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001182_100X_20170814_1-Scene-09-P25-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_5-Scene-08-P48-F08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001092_100X_20170718_2-Scene-07-P17-F08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_4-Scene-3-P16-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001128_100X_20170728_2-Scene-02-P18-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001118_100X_20170726_2-Scene-05-P14-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_1-Scene-3-P3-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_1-Scene-8-P8-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_9-Scene-06-P40-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_4-Scene-5-P18-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001080_100X_20170717_1-Scene-22-P24-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001080_100X_20170717_1-Scene-23-P25-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001108_100X_20170724_2c-Scene-11-P31-F06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_1-Scene-5-P5-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_9-Scene-07-P41-F06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_3-Scene-01-P20-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001078_100X_20170717_3-Scene-12-P32-F07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001085_100X_20170719_3-Scene-05-P24-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001182_100X_20170814_1-Scene-03-P7-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001079_100X_20170717_2c-Scene-14-P34-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001170_100X_20170808_17_65_1-Scene-01-P3-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001105_100X_20170725_3-Scene-05-P29-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001077_100X_20170717_1-Scene-05-P5-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001079_100X_20170717_2c-Scene-01-P21-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_3-Scene-1-P11-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001188_100X_20170814_4-Scene-02-P18-E07.czi,6,3,Desmoplakin,
data/desmoplakin/3500001121_100X_20170726_1-Scene-06-P8-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_9-Scene-13-P47-F06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001158_100X_20170807_6-Scene-10-P30-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001101_100X_20170722_1-Scene-02-P2-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001126_100X_20170728_2-Scene-08-P28-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001105_100X_20170725_2-Scene-02-P14-E06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001101_100X_20170722_1-Scene-17-P18-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001121_100X_20170726_2-Scene-06-P30-F04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001100_100X_20170721_7-Scene-2-P27-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001128_100X_20170728_1-Scene-09-P14-E05.czi,6,3,Desmoplakin,
data/desmoplakin/3500001123_100X_20170725_4-Scene-10-P30-F06.czi,6,3,Desmoplakin,
data/desmoplakin/3500001078_100X_20170717_1-Scene-6-P6-E08.czi,6,3,Desmoplakin,
data/desmoplakin/3500001170_100X_20170808_17_65_1-Scene-03-P9-E04.czi,6,3,Desmoplakin,
data/desmoplakin/3500001170_100X_20170808_17_65_1r-Scene-05-P14-E05.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001160_100X_20170807_17_65_1r-Scene-05-P14-E07.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001188_100X_20170814_2r-Scene-15-P44-F07.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001188_100X_20170814_2r-Scene-02-P5-E05.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001182_100X_20170814_1r-Scene-08-P23-F04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001167_100X_20170808_1r_1-Scene-1-P2-F04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001158_100X_20170807_4r-Scene-2-P32-E08.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001188_100X_20170814_2r-Scene-04-P11-E07.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001167_100X_20170808_1r_2-Scene-2-P8-F04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001182_100X_20170814_1r-Scene-04-P11-E04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001158_100X_20170807_2r-Scene-1-P2-E04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001158_100X_20170807_2r-Scene-3-P8-E04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001182_100X_20170814_1r-Scene-01-P2-E04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001188_100X_20170814_2r-Scene-10-P29-F06.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001182_100X_20170814_1r-Scene-02-P5-E04.czi,6,3,Desmoplakin,r
data/desmoplakin/3500001188_100X_20170814_1e-Scene-08-P22-F05.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001169_100X_20170808_1e-Scene-4-P10-E05.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001170_100X_20170808_17_65_1e-Scene-01-P1-E04.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-04-P10-E05.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001169_100X_20170808_2e-Scene-01-P16-F04.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001188_100X_20170814_1e-Scene-13-P37-F07.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-09-P25-E06.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-02-P4-E04.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001188_100X_20170814_1e-Scene-12-P34-F06.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-07-P19-E05.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001160_100X_20170807_17_65_1e-Scene-06-P16-E07.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001169_100X_20170808_2e-Scene-09-P40-F08.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-01-P1-E04.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001158_100X_20170807_1e-Scene-08-P22-E06.czi,6,3,Desmoplakin,e
data/desmoplakin/3500001169_100X_20170808_2e-Scene-06-P31-F07.czi,6,3,Desmoplakin,e
