path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/lamin_b1/3500000926_100X_20170523_1-Scene-04-P4-E04.czi,6,3,Lamin B1,
data/lamin_b1/3500000939_100X_20170526_8-Scene-03-P43-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000944_100X_20170530_5-Scene-04-P34-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_4-Scene-07-P37-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000958_10X_20170606_1-Scene-03-P3-E04.czi,6,3,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_4-Scene-08-P38-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_3-Scene-05-P19-E05.czi,6,3,Lamin B1,
data/lamin_b1/3500000944_100X_20170530_6-Scene-07-P47-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000950_100X_20170531_5-Scene-4-P16-E05.czi,6,3,Lamin B1,
data/lamin_b1/3500000956_100X_20170606_3c-Scene-1-P25-F04.czi,6,3,Lamin B1,
data/lamin_b1/3500000876_100X_20170508_3-Scene-06-P26-E06.czi,6,3,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_5-Scene-7-P63-F07.czi,6,3,Lamin B1,
data/lamin_b1/3500000949_100X_20170531_13-Scene-1-P37-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000939_100X_20170526_7-Scene-01-P31-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000922_100X_20170522_3-Scene-01-P42-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000884_100X_20170509_1-Scene-11-P51-F05.czi,6,3,Lamin B1,
data/lamin_b1/3500000896_100X_20170515_E07_P36.czi,3,1,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_3-Scene-11-P25-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000953_100X_20170607_3c-Scene-1-P25-F06.czi,6,3,Lamin B1,
data/lamin_b1/3500000935_100X_20170524_5-Scene-05-P35-F06.czi,6,3,Lamin B1,
data/lamin_b1/3500000913_100X_20170519_2-Scene-6-P10-E04.czi,3,1,Lamin B1,
data/lamin_b1/3500000938_100X_20170526_3-Scene-14-P28-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000953_100X_20170607_5c-Scene-3-P45-E05.czi,6,3,Lamin B1,
data/lamin_b1/3500000926_100X_20170523_4-Scene-10-P40-E07.czi,6,3,Lamin B1,
data/lamin_b1/3500000884_100X_20170509_3-Scene-12-P32-E08.czi,6,3,Lamin B1,
data/lamin_b1/3500000913_100X_20170519_6-Scene-06-P54-F05.czi,3,1,Lamin B1,
data/lamin_b1/3500000896_100X_20170515_E07_P38.czi,3,1,Lamin B1,
data/lamin_b1/3500000899_100X_20170515_1-Scene-04-P4-E04.czi,6,3,Lamin B1,
data/lamin_b1/3500000950_100X_20170531_6-Scene-01-P21-E06.czi,6,3,Lamin B1,
