path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/sec61_beta/3500001155_100X_20170807_2-Scene-5-P8-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-14-P16-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-22-P22-F07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_2-Scene-01-P16-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001179_100X_20170811_3-Scene-7-P33-F07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001191_100X_20170815_3-Scene-07-P12-F04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001152_100X_20170804_2-Scene-03-P6-F08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001155_100X_20170807_5-Scene-04-P24-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_2-Scene-13-P28-F06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001191_100X_20170815_3-Scene-02-P7-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_2-Scene-11-P26-F05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-19-P21-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001155_100X_20170807_4-Scene-08-P19-E06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-01-P1-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001191_100X_20170815_4-Scene-06-P21-F05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001153_100X_20170804_2-Scene-03-P33-F08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_1-Scene-05-P5-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001157_100X_20170807_5-Scene-02-P32-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_1-Scene-07-P7-E05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_1-Scene-06-P6-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_1-Scene-14-P15-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001153_100X_20170804_1-Scene-18-P19-E06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-34-P34-F05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-11-P13-E06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-23-P26-F07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001153_100X_20170804_1-Scene-27-P28-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001157_100X_20170807_5-Scene-03-P33-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001175_100X_20170811_4-Scene-06-P18-E05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-32-P32-F05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001152_100X_20170804_3-Scene-12-P39-F04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-13-P13-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-22-P25-F08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001155_100X_20170807_4-Scene-06-P17-E06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-15-P17-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001157_100X_20170807_2-Scene-3-P8-E05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001152_100X_20170804_3-Scene-08-P35-F04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-16-P16-F08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001130_100X_20170728_1-Scene-01-P1-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001191_100X_20170815_4-Scene-07-P22-F05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001152_100X_20170804_3-Scene-09-P36-F04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001152_100X_20170804_2-Scene-02-P5-F08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001153_100X_20170804_1-Scene-05-P5-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001157_100X_20170807_2-Scene-5-P10-E05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001217_100X_20170821_3-Scene-02-P6-E04.czi,6,3,Sec61 beta,
data/sec61_beta/3500001218_100X_20170821_1-Scene-16-P54-F06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001157_100X_20170807_2-Scene-4-P9-E05.czi,6,3,Sec61 beta,
data/sec61_beta/3500001198_100X_20170815_1-Scene-12-P13-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001131_100X_20170728_1-Scene-12-P14-E06.czi,6,3,Sec61 beta,
data/sec61_beta/3500001179_100X_20170811_3-Scene-2-P18-E07.czi,6,3,Sec61 beta,
data/sec61_beta/3500001218_100X_20170821_1-Scene-10-P36-E08.czi,6,3,Sec61 beta,
data/sec61_beta/3500001217_100X_20170821_2r-Scene-01-P2-E04.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001217_100X_20170821_2r-Scene-04-P11-E05.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001218_100X_20170821_1r-Scene-17-P50-F08.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_3r-Scene-11-P41-E08.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001179_100X_20170811_2r-Scene-4-P29-F07.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_3r-Scene-05-P23-E06.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001218_100X_20170821_1r-Scene-01-P2-E04.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001218_100X_20170821_1r-Scene-07-P20-E05.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001218_100X_20170821_1r-Scene-02-P5-E04.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001218_100X_20170821_1r-Scene-13-P38-E08.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_2r-Scene-1-P2-E04.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001217_100X_20170821_2r-Scene-08-P23-E06.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_3r-Scene-04-P20-E06.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_3r-Scene-09-P35-E07.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001175_100X_20170811_2r-Scene-3-P8-E04.czi,6,3,Sec61 beta,r
data/sec61_beta/3500001205_100X_20170818_3e-Scene-1-P31-F05.czi,6,3,Sec61 beta,e
data/sec61_beta/3500001175_100X_20170811_1e-Scene-05-P13-E05.czi,6,3,Sec61 beta,e
data/sec61_beta/3500001205_100X_20170818_2e-Scene-6-P25-F04.czi,6,3,Sec61 beta,e
