path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/st6gal1/3500001298_100X_20170918_3-Scene-13-P30-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001251_100X_20170829_2-Scene-07-P19-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_3-Scene-15-P45-F06.czi,6,3,ST6GAL1,
data/st6gal1/3500001232_100X_20170825_2-Scene-05-P16-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001234_100X_20170825_2-Scene-24-P59-F07.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_4-Scene-10-P50-F06.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_3-Scene-13-P43-F06.czi,6,3,ST6GAL1,
data/st6gal1/3500001251_100X_20170829_3-Scene-08-P32-F05.czi,6,3,ST6GAL1,
data/st6gal1/3500001303_100X_20170918_1-Scene-13-P39-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001289_100X_20170915_25_44_1-Scene-08-P30-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_1-Scene-04-P4-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001234_100X_20170825_2-Scene-08-P43-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001298_100X_20170918_3-Scene-09-P18-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_3-Scene-11-P36-F07.czi,6,3,ST6GAL1,
data/st6gal1/3500001251_100X_20170829_2-Scene-02-P14-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_1-Scene-04-P4-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001298_100X_20170918_3-Scene-02-P48-F04.czi,6,3,ST6GAL1,
data/st6gal1/3500001234_100X_20170825_2-Scene-23-P58-F07.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_1-Scene-09-P9-E06.czi,6,3,ST6GAL1,
data/st6gal1/3500001251_100X_20170829_1-Scene-03-P3-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001282_100X_20170912_1-Scene-7-P21-F04.czi,6,3,ST6GAL1,
data/st6gal1/3500001303_100X_20170918_1-Scene-02-P6-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_2-Scene-08-P18-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001282_100X_20170912_1-Scene-1-P3-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001284_100X_20170912_25_44_1-Scene-11-P32-F04.czi,6,3,ST6GAL1,
data/st6gal1/3500001250_100X_20170829_1-Scene-02-P2-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001298_100X_20170918_3-Scene-17-P42-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001303_100X_20170918_1-Scene-05-P15-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_2-Scene-13-P23-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001234_100X_20170825_2-Scene-09-P44-F08.czi,6,3,ST6GAL1,
data/st6gal1/3500001234_100X_20170825_1-Scene-30-P31-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_4-Scene-02-P42-F07.czi,6,3,ST6GAL1,
data/st6gal1/3500001289_100X_20170915_25_44_1-Scene-07-P27-E06.czi,6,3,ST6GAL1,
data/st6gal1/3500001251_100X_20170829_2-Scene-06-P18-E07.czi,6,3,ST6GAL1,
data/st6gal1/3500001271_100X_20170905_2-Scene-4-P8-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001271_100X_20170905_4-Scene-04-P24-E06.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_3-Scene-07-P37-F05.czi,6,3,ST6GAL1,
data/st6gal1/3500001232_100X_20170825_2-Scene-04-P15-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001289_100X_20170915_25_44_1-Scene-02-P6-E04.czi,6,3,ST6GAL1,
data/st6gal1/3500001250_100X_20170829_3-Scene-07-P25-F05.czi,6,3,ST6GAL1,
data/st6gal1/3500001282_100X_20170912_1-Scene-6-P18-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001232_100X_20170825_3-Scene-19-P54-F06.czi,6,3,ST6GAL1,
data/st6gal1/3500001264_100X_20170901_4-Scene-08-P33-E08.czi,6,3,ST6GAL1,
data/st6gal1/3500001232_100X_20170825_3-Scene-21-P56-F06.czi,6,3,ST6GAL1,
data/st6gal1/3500001250_100X_20170829_3-Scene-06-P24-F05.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_3-Scene-11-P41-F05.czi,6,3,ST6GAL1,
data/st6gal1/3500001274_100X_20170905_1-Scene-11-P11-E05.czi,6,3,ST6GAL1,
data/st6gal1/3500001262_100X_20170901_2-Scene-02-P12-E06.czi,6,3,ST6GAL1,
