path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/tom20/3500000959_100X_20170609_7-Scene-07-P37-E07.czi,6,3,Tom20,
data/tom20/3500001005_100X_20170623_2-Scene-14-P32-F08.czi,6,3,Tom20,
data/tom20/3500000981_100X_20170616_2-Scene-22-P53-F07.czi,6,3,Tom20,
data/tom20/3500000980_100X_20170616_7-Scene-7-P40-E07.czi,6,3,Tom20,
data/tom20/3500000972_100X_20170614_2-Scene-1-P7-E05.czi,6,3,Tom20,
data/tom20/3500000964_100X_20170612_3-Scene-2-P12-E05.czi,6,3,Tom20,
data/tom20/3500000982_100X_20170620_3-Scene-01-P21-E06.czi,6,3,Tom20,
data/tom20/3500000982_100X_20170620_3-Scene-04-P24-E06.czi,6,3,Tom20,
data/tom20/3500000961_100X_20170609_3-Scene-08-P60-F07.czi,6,3,Tom20,
data/tom20/3500000986_100X_20170620_2-Scene-1-P8-E04.czi,6,3,Tom20,
data/tom20/3500001057_100X_20170712_c1-Scene-03-P9-E05.czi,6,3,Tom20,
data/tom20/3500000961_100X_20170609_1-Scene-15-P15-E06.czi,6,3,Tom20,
data/tom20/3500000968_100X_20170612_1-Scene-28-P28-E06.czi,6,3,Tom20,
data/tom20/3500000997_100X_20170621_1-Scene-09-P9-E04.czi,6,3,Tom20,
data/tom20/3500000986_100X_20170620_7-Scene-1-P36-E07.czi,6,3,Tom20,
data/tom20/3500000982_100X_20170620_5-Scene-2-P42-E08.czi,6,3,Tom20,
data/tom20/3500000997_100X_20170621_3-Scene-03-P23-E06.czi,6,3,Tom20,
data/tom20/3500001012_100X_20170627_4-Scene-01-P31-F04.czi,6,3,Tom20,
data/tom20/3500000968_100X_20170612_2-Scene-09-P37-E08.czi,6,3,Tom20,
data/tom20/3500001034_100X_20170705_1c-Scene-3-P3-E04.czi,6,3,Tom20,
data/tom20/3500000981_100X_20170616_2-Scene-20-P51-F07.czi,6,3,Tom20,
data/tom20/3500000997_100X_20170621_1-Scene-05-P5-E04.czi,6,3,Tom20,
data/tom20/3500000969_100X_20170613_1-Scene-14-P14-E06.czi,6,3,Tom20,
data/tom20/3500000959_100X_20170609_7-Scene-01-P31-E07.czi,6,3,Tom20,
data/tom20/3500001009_100X_20170627_6-Scene-2-P44-F06.czi,6,3,Tom20,
data/tom20/3500001003_100X_20170623_1-Scene-19-P22-F06.czi,6,3,Tom20,
data/tom20/3500000969_100X_20170613_6-Scene-01-P51-F06.czi,6,3,Tom20,
data/tom20/3500000981_100X_20170616_1-Scene-05-P5-E04.czi,6,3,Tom20,
data/tom20/3500001066_100X_20170712_2c-Scene-2-P24-E08.czi,6,3,Tom20,
data/tom20/3500000976_100X_20170613_3-Scene-09-P30-F05.czi,6,3,Tom20,
data/tom20/3500000961_100X_20170609_1-Scene-19-P19-E06.czi,6,3,Tom20,
data/tom20/3500000981_100X_20170616_2-Scene-26-P57-F08.czi,6,3,Tom20,
data/tom20/3500000969_100X_20170613_1-Scene-07-P7-E04.czi,6,3,Tom20,
data/tom20/3500000971_100X_20170614_3-Scene-03-P33-F04.czi,6,3,Tom20,
data/tom20/3500000986_100X_20170620_6-Scene-5-P35-E07.czi,6,3,Tom20,
data/tom20/3500000997_100X_20170621_6-Scene-01-P41-E08.czi,6,3,Tom20,
data/tom20/3500001012_100X_20170627_3-Scene-09-P21-E07.czi,6,3,Tom20,
data/tom20/3500000961_100X_20170609_1-Scene-01-P1-E04.czi,6,3,Tom20,
data/tom20/3500000976_100X_20170613_3-Scene-21-P42-F08.czi,6,3,Tom20,
data/tom20/3500000968_100X_20170612_2-Scene-26-P55-F07.czi,6,3,Tom20,
data/tom20/3500000997_100X_20170621_5-Scene-2-P40-E07.czi,6,3,Tom20,
data/tom20/3500000973_100X_20170614_2-Scene-06-P24-E07.czi,6,3,Tom20,
data/tom20/3500000969_100X_20170613_2-Scene-09-P28-E08.czi,6,3,Tom20,
data/tom20/3500000973_100X_20170614_2-Scene-03-P21-E07.czi,6,3,Tom20,
data/tom20/3500000972_100X_20170614_1-Scene-2-P2-E04.czi,6,3,Tom20,
data/tom20/3500001005_100X_20170623_2-Scene-06-P24-E08.czi,6,3,Tom20,
data/tom20/3500001016_100X_20170628_3-Scene-2-P8-E05.czi,6,3,Tom20,
data/tom20/3500000961_100X_20170609_2-Scene-09-P30-E07.czi,6,3,Tom20,
data/tom20/3500001003_100X_20170623_1-Scene-08-P10-F05.czi,6,3,Tom20,
data/tom20/3500001012_100X_20170627_4-Scene-03-P33-F04.czi,6,3,Tom20,
data/tom20/3500001066_100X_20170712_2r-Scene-2-P23-E08.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_2r-Scene-3-P26-E08.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_4r-Scene-3-P20-F04.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_1r-Scene-2-P5-E05.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_4r-Scene-2-P19-F04.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_4r-Scene-1-P18-F04.czi,6,3,Tom20,r
data/tom20/3500001057_100X_20170712_r1-Scene-06-P17-E06.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_2r-Scene-6-P35-F05.czi,6,3,Tom20,r
data/tom20/3500001057_100X_20170712_r1-Scene-05-P14-E06.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_1r-Scene-3-P8-E05.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_2r-Scene-1-P20-E08.czi,6,3,Tom20,r
data/tom20/3500001057_100X_20170712_r1-Scene-10-P29-E08.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_3r-Scene-2-P15-E06.czi,6,3,Tom20,r
data/tom20/3500001066_100X_20170712_1r-Scene-1-P2-E05.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_1r-Scene-2-P2-E04.czi,6,3,Tom20,r
data/tom20/3500001034_100X_20170705_4e-Scene-3-P20-F04.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_5e-Scene-3-P43-F08.czi,6,3,Tom20,e
data/tom20/3500001057_100X_20170712_e1-Scene-07-P19-E07.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_3e-Scene-1-P12-E06.czi,6,3,Tom20,e
data/tom20/3500001057_100X_20170712_e1-Scene-06-P16-E06.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_2e-Scene-2-P10-E05.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_5e-Scene-2-P42-F08.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_3e-Scene-2-P15-E06.czi,6,3,Tom20,e
data/tom20/3500001066_100X_20170712_2e-Scene-6-P34-F05.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_5e-Scene-1-P38-F08.czi,6,3,Tom20,e
data/tom20/3500001057_100X_20170712_e1-Scene-08-P22-E07.czi,6,3,Tom20,e
data/tom20/3500001066_100X_20170712_1e-3-Scene-1-P16-E07.czi,6,3,Tom20,e
data/tom20/3500001057_100X_20170712_e1-Scene-04-P10-E05.czi,6,3,Tom20,e
data/tom20/3500001066_100X_20170712_1e-2-Scene-1-P4-E05.czi,6,3,Tom20,e
data/tom20/3500001034_100X_20170705_1e-Scene-2-P2-E04.czi,6,3,Tom20,e
